1495130481048 refactoring 2A 265 true
1495130848867 test-first 4 334 true
1495131059569 test-first 3 187 true
1495131290765 test-first 4 182 true
1495131406121 test-first 4 91 true
1495131486985 test-first 4 55 true
1495131596982 test-first 4 77 true
1495131753629 test-first 4 123 true
1495131943388 test-first 4 169 true
1495132020568 test-first 4 68 true
1495132128194 test-first 4 58 true
1495132216337 test-first 4 62 true
1495132365417 test-first 4 115 true
1495132453893 test-first 4 80 true
1495133034898 test-first 3 435 true
1495133065557 regression 2 24 false
1495133165881 test-first 4 91 true
1495133359643 test-first 4 160 true
